Serial No,City,Air Quality,Index Value,Prominent Pollutant,No. of Stations Participated/Total Stations
149,Milupara,Moderate,119,PM 10,1/1
150,Mira-Bhayandar,Satisfactory,62,PM 10,1/1
151,Moradabad,Satisfactory,79,"PM 10 , O 3",6/7
152,Motihari,Satisfactory,94,PM 10,1/1
153,Mumbai,Satisfactory,80,PM 10,25/30
154,Munger,Moderate,145,PM 10,1/1
155,Muzaffarnagar,Moderate,102,O 3,1/1
156,Muzaffarpur,Moderate,134,PM 2.5,3/3
157,Mysuru,Good,48,O 3,1/1
158,Nagaon,Satisfactory,73,PM 10,1/1
159,Nagapattinam,Good,29,PM 10,1/1
160,Nagaur,Moderate,188,PM 10,1/1
161,Nagpur,Moderate,134," PM 2.5, PM 10",3/4
162,Nalbari,Moderate,192,PM 10,1/1
163,Nanded,Satisfactory,80,O 3,1/1
164,Nandesari,Good,17,NO 2,1/1
165,Nashik,Moderate,116," PM 2.5, PM 10",4/4
166,Navi Mumbai,Moderate,129,"PM 2.5, NO 2 , PM 10",5/8
167,Nayagarh,Moderate,123,PM 2.5,1/1
168,Noida,Moderate,119,"PM 10 , O 3",3/4
169,Ooty,Satisfactory,71,PM 10,1/1
170,Pali,Moderate,174,PM 2.5,1/1
171,Palkalaiperur,Good,22,PM 10,1/1
172,Panchgaon,Moderate,150,O 3,1/1
173,Parbhani,Satisfactory,74,O 3,1/1
174,Patiala,Satisfactory,88,PM 10,1/1
175,Patna,Moderate,193,"PM 2.5, PM 10 , O 3",6/6
176,Pimpri-Chinchwad,Moderate,116,PM 10,4/4
177,Pithampur,Moderate,103,PM 10,1/1
178,Pratapgarh,Moderate,120,PM 10,1/1
179,Prayagraj,Moderate,121,PM 10,3/3
180,Puducherry,Good,31,O 3,1/1
181,Pudukottai,Good,26,PM 10,1/1
182,Pune,Moderate,120,"PM 2.5, PM 10 , O 3",8/13
183,Purnia,Moderate,169,PM 2.5,1/1
184,Raipur,Satisfactory,80,"NO 2, PM 10",4/4
185,Rajamahendravaram,Satisfactory,56,PM 10,1/1
186,Rajgir,Satisfactory,93,PM 2.5,1/1
187,Rajsamand,Satisfactory,94,O 3,1/1
188,Ramanathapuram,Good,26,PM 2.5,1/1
189,Ranipet,Good,38,PM 2.5,1/1
190,Ratlam,Moderate,128,PM 10,1/1
191,Rishikesh,Moderate,158,O 3,1/1
192,Rourkela,Poor,206,PM 10,1/3
193,Rupnagar,Moderate,105,PM 2.5,1/1
194,Sagar,Satisfactory,66,"CO, PM 10",2/2
195,Saharsa,Moderate,127,PM 10,1/1
196,Salem,Good,40,PM 10,1/1
